Title,Price,Address,Details
3 bedroom flat / apartment for rent,"₦5,000,000per annum","By Aduvie School, Jahi, Abuja",N/A
1 bedroom mini flat (room and parlour) for rent,"₦7,500,000per annum","By Pappies, Jahi, Abuja",N/A
4 bedroom terraced duplex for sale,"₦550,000,000","Off Admiralty, Lekki Phase 1, Lekki, Lagos",N/A
45 bedroom hotel / guest house for sale,"₦2,500,000,000","Alausa, Ikeja, Lagos",N/A
4 bedroom terraced duplex for sale,"₦320,000,000","Awuse Estate, Opebi, Ikeja, Lagos",N/A
4 bedroom terraced duplex for sale,"₦350,000,000","Tejuosho Estate, Allen, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦260,000,000","Off Allen Avenue, Allen, Ikeja, Lagos",N/A
3 bedroom flat / apartment for sale,"₦153,000,000","Cybervill Estate, Ikate, Lekki Phase 1, Lekki, Lagos",N/A
10 bedroom house for sale,"₦1,500,000,000","Edward Hotonu Street, Off Updc, Lekki Phase 1, Lekki, Lagos",N/A
Block of flats for sale,"₦2,800,000,000","Eric Moore Towers, Eric Moore, Surulere, Lagos",N/A
Commercial property for sale,"₦72,000,000","Salami Tolu Road, Close To Tolu Medical Center, Ajegunle, Apapa, Lagos",N/A
6 bedroom semi-detached duplex for rent,"₦20,000,000per annum","Katampe (Main), Katampe, Abuja",N/A
6 bedroom semi-detached duplex for rent,"₦20,000,000per annum","Katampe Main., Katampe (Main), Katampe, Abuja",N/A
4 bedroom flat / apartment for sale,"₦2,800,000,000","Probyn Street Off Bourdillon, Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦680,000,000","Adeyemi Lawson Off Bourdillon Road, Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom house for rent,"₦3,000,000per annum","Gra, Ikota, Lekki, Lagos",N/A
Self contain (single rooms) for rent,"₦2,500,000per annum","Salem, Ikate, Lekki, Lagos",N/A
Land for sale,"₦35,000,000","Okun-Ajah, Ajah, Lagos",N/A
3 bedroom flat / apartment for rent,"₦12,000,000per annum","Salem, Ikate, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦130,000,000","Ajah, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦140,000,000","Mobil Road ,lekki, Ajah, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000per annum","Victoria Island (VI), Lagos",N/A
Commercial property for sale,"₦530,000,000","Directly On Bode Thomas Street, Surulere, Lagos",N/A
Commercial property for rent,"₦60,000,000per annum","Oduduwa Way, Ikeja GRA, Ikeja, Lagos",N/A
3 bedroom flat / apartment for sale,"₦85,000,000","Off Allen Avenue, Allen, Ikeja, Lagos",N/A
Block of flats for sale,"₦1,000,000,000","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦150,000,000","Lekki Conservation Court Estate, Lekki Phase 2, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦7,000,000per annum","Agungi, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦149,000per day","Ikate Elegushi, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦270,000,000","Gated Estate, Behind Bedmate, Ikate Elegushi, Lekki, Lagos",N/A
Commercial land for sale,"₦540,000,000","Old Ewu Road, Mafoluku, Oshodi, Lagos",N/A
Plaza / complex / mall for sale,"₦540,000,000","Old Ewu Road, Mafoluku, Oshodi, Lagos",N/A
2 bedroom flat / apartment for rent,"₦4,500,000per annum","Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦120,000,000","Maitama 2, Maitama District, Abuja",N/A
3 bedroom flat / apartment short let,"₦250,000per day","Maitama District, Abuja",N/A
2 bedroom flat / apartment short let,"₦200,000per day","Wuye, Abuja",N/A
5 bedroom detached duplex for sale,"₦450,000,000","Life Camp, Abuja",N/A
2 bedroom flat / apartment for rent,"₦25,000,000per annum","Asokoro District, Abuja",N/A
2 bedroom flat / apartment for rent,"₦4,500,000per annum","Ikota, Lekki, Lagos",N/A
3 bedroom terraced duplex for sale,"₦120,000,000","Mobil Road ,lekki, Ajah, Lagos",N/A
4 bedroom detached duplex for sale,"₦550,000,000","Ojo, Lagos",N/A
3 bedroom semi-detached duplex short let,"₦4,000,000per calendar month","Brains And Hammers City, Life Camp, Abuja",N/A
5 bedroom terraced duplex for sale,"₦1,200,000,000","Maitama District, Abuja",N/A
4 bedroom detached duplex for rent,"₦8,000,000per annum","Chevron, Lekki, Lagos",N/A
4 bedroom flat / apartment short let,"₦350,000per day","7, Centrale Residence, Bisola Durosinmi Etti Drive, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦1,300,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦6,000,000per annum","Bridgegate Estate, Agungi, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦25,000,000per annum","Agungi/chevron Axis, Agungi, Lekki, Lagos",N/A
10 bedroom detached duplex for rent,"₦13,000,000per annum","First Unity Estate, Badore, Ajah, Lagos",N/A
2 bedroom flat / apartment for rent,"₦7,000,000per annum","Apo Resettlement, Apo Resettlement, Apo, Abuja",N/A
5 bedroom detached duplex for sale,"₦300,000,000","Ikate, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦40,000,000per annum","Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for sale,"₦90,000,000","Harris Drive, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦8,000,000","Chevron Alternative, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Beside Four Point By Sheraton Hotel, Victoria Island (VI), Lagos",N/A
3 bedroom terraced duplex for sale,"₦220,000,000","Ajao Estate ( Airport Road), Oshodi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦200,000,000","Katampe, Abuja",N/A
3 bedroom flat / apartment for sale,"₦110,000,000","Maitama District, Abuja",N/A
1 bedroom flat / apartment for rent,"₦10,000,000per annum","Wuye, Abuja",N/A
3 bedroom flat / apartment for sale,"₦100,000,000","Katampe, Abuja",N/A
3 bedroom flat / apartment for sale,"₦140,000,000","Life Camp, Abuja",N/A
2 bedroom flat / apartment for sale,"₦90,000,000","Life Camp, Abuja",N/A
2 bedroom flat / apartment for rent,"₦26,000,000per annum","Wuye, Abuja",N/A
1 bedroom flat / apartment for rent,"₦6,000,000per annum","Katampe, Abuja",N/A
4 bedroom flat / apartment for sale,"₦240,000,000","Durumi, Abuja",N/A
3 bedroom flat / apartment for sale,"₦120,000,000","Asokoro District, Abuja",N/A
2 bedroom flat / apartment for rent,"₦2,000,000per month","Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom house for rent,"₦2,000,000per month","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦900,000,000","Banana Island, Ikoyi, Lagos",N/A
1 bedroom flat / apartment for rent,"₦1,500,000per month","Lekki Phase 1, Lekki, Lagos",N/A
Residential land for sale,"₦15,000,000per plot","Independence Layout Phase Two, Enugu, Enugu",N/A
Residential land for sale,"₦80,000,000per plot","Along Kubwa Expressway, Karsana East, Karsana, Abuja",N/A
3 bedroom flat / apartment for rent,"₦12,000,000per annum","Bella Residencia, Kimberly, Ikate Elegushi, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦105,000,000","Ikota, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦260,000per day","Jasmine Court 2, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦120,000per day","Ikate, Lekki, Lagos",N/A
2 bedroom block of flats for sale,"₦30,000,000","Lawyer Phase 2, Agric, Ikorodu, Lagos",N/A
32 bedroom hotel / guest house for sale,"₦6,000,000,000","Ikeja GRA, Ikeja, Lagos",N/A
2 bedroom flat / apartment short let,"₦130,000per day","Off Admiralty, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦160,000,000","Ikota, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦8,000,000per annum","Wuye, Abuja",N/A
4 bedroom terraced duplex for sale,"₦160,000,000","Ikota, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦20,000,000per annum","Agungi, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦400,000,000","Orchid Road, Lekki, Lagos",N/A
Warehouse for sale,"₦13,000,000,000","Iyana Itire, Ilasamaja, Mushin, Lagos",N/A
4 bedroom flat / apartment for rent,"₦15,000,000per annum","Mabushi, Abuja",N/A
4 bedroom house for sale,"₦2,650,000,000","Oduduwa Street, Ikeja GRA, Ikeja, Lagos",N/A
4 bedroom flat / apartment for rent,"₦12,000,000per annum","Mabushi, Abuja",N/A
3 bedroom flat / apartment for rent,"₦25,000,000per annum","Off Ikoyi Crescent, Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦450,000,000","Ikota, Lekki, Lagos",N/A
Commercial land for sale,"₦250,000,000per plot","Lekki Expressway, Lekki, Lagos",N/A
Residential land for sale,"₦109,500,000per plot","Lekki Expressway, Lekki, Lagos",N/A
Residential land for sale,"₦40,000,000per plot","Karsana East, Karsana, Abuja",N/A
5 bedroom flat / apartment for sale,"₦1,600,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦2,300,000,000","Off Queens Drive, Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦1,900,000,000","Banana Island, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦450,000,000","Lekki County, Ikota, Lekki, Lagos",N/A
Commercial property for sale,"₦13,900,000,000","Directly Along Adeola Odeku, Victoria Island (VI), Lagos",N/A
1 bedroom flat / apartment for rent,"$45,000per annumapprox. ₦62,821,347","Eko Atlantic City, Lagos",N/A
3 bedroom flat / apartment for sale,"$800,000approx. ₦1,116,823,944","Eko Atlantic City, Lagos",N/A
2 bedroom flat / apartment for sale,"₦650,000,000","Parkview, Ikoyi, Lagos",N/A
7 bedroom detached duplex for sale,"₦2,000,000,000","Ikeja GRA, Ikeja, Lagos",N/A
10 bedroom detached duplex for sale,"₦3,500,000,000","Ikeja GRA, Ikeja, Lagos",N/A
5 bedroom house for sale,"₦1,350,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
Plaza / complex / mall for sale,"₦20,000,000,000","Mabushi, Jahi, Abuja",N/A
Mixed-use land for sale,"₦1,600,000per square meter","Opebi, Ikeja, Lagos",N/A
Plaza / complex / mall for rent,"₦245,000per square meter / per annum","Victoria Island (VI), Lagos",N/A
Land for sale,"₦2,900,000,000per hectare","Orile, Lagos",N/A
Plaza / complex / mall for rent,"₦350,000per square meter / per annum","Victoria Island (VI), Lagos",N/A
Warehouse for sale,"₦8,500,000,000","Orile Iganmu, Surulere, Lagos",N/A
5 bedroom detached bungalow for sale,"$5,000,000approx. ₦6,980,149,650","Banana Island, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦1,000,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦900,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
Office space for rent,"₦350,000per square meter / per annum","Lekki Phase 1, Lekki, Lagos",N/A
21 bedroom commercial property for sale,"₦2,000,000,000","Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"$4,200,000approx. ₦5,863,325,706","Banana Island, Ikoyi, Lagos",N/A
6 bedroom detached duplex for sale,"$1,700,000approx. ₦2,373,250,881","Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for sale,"₦1,000,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,100,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
18 bedroom flat / apartment for rent,"₦150,000,000per annum","Parkview, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦160,000,000","Festac, Amuwo Odofin, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦920,000,000","Victoria Island (VI), Lagos",N/A
Commercial property for rent,"₦650,000,000per annum","Buordillon, Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦3,500,000,000","Parkview, Ikoyi, Lagos",N/A
4 bedroom flat / apartment for sale,"$920,000approx. ₦1,284,347,536","Banana Island, Ikoyi, Lagos",N/A
60 bedroom flat / apartment for rent,"$250,000per annumapprox. ₦349,007,483","Ozumba Mbadiwe, Victoria Island (VI), Lagos",N/A
Plaza / complex / mall for rent,"₦100,000per square meter / per annum","Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment for sale,"₦750,000,000","Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom flat / apartment for sale,"₦350,000,000","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
Commercial property for rent,"₦210,000,000per annum","Ikoyi, Lagos",N/A
4 bedroom flat / apartment for sale,"₦1,800,000,000","Ikoyi, Lagos",N/A
4 bedroom flat / apartment for sale,"₦2,500,000,000","Ikoyi, Lagos",N/A
12 bedroom flat / apartment for rent,"$60,000approx. ₦83,761,796","Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"$2,620,000approx. ₦3,657,598,417","Eko Atlantic City, Lagos",N/A
5 bedroom flat / apartment for sale,"$4,500,000approx. ₦6,282,134,685","Banana Island, Ikoyi, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦2,600,000,000","Banana Island, Ikoyi, Lagos",N/A
Office space for rent,"₦250,000per square meter / per annum","Close To 4 Points Hotel, Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom flat / apartment for sale,"$7,500,000approx. ₦10,470,224,475","Banana Island, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦280,000,000","Ojodu, Lagos",N/A
5 bedroom detached duplex for sale,"₦475,000,000","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom terraced duplex for sale,"₦672,000,000","Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for sale,"₦700,000,000","Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for sale,"$2,500,000approx. ₦3,490,074,825","Old Ikoyi, Ikoyi, Lagos",N/A
Residential land for sale,"₦28,000,000per plot","Karsana East, Karsana, Abuja",N/A
2 bedroom flat / apartment for rent,"₦7,000,000per annum","Maitama Main(tarred), Maitama District, Abuja",N/A
2 bedroom flat / apartment short let,"₦220,000per day","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦110,000,000","Ikota, Lekki, Lagos",N/A
Residential land for sale,"₦20,000,000per plot","Karsana East, Karsana, Abuja",N/A
4 bedroom detached duplex for sale,"₦90,000,000","Off Monastery Road, Sangotedo, Ajah, Lagos",N/A
5 bedroom house for sale,"₦4,950,000,000","Ladipo Bateye Street, Ikeja GRA, Ikeja, Lagos",N/A
4 bedroom detached duplex for sale,"₦90,000,000","Off Monastery Road, Sangotedo, Ajah, Lagos",N/A
4 bedroom detached duplex for sale,"₦160,000,000","Off Monastery Road, Sangotedo, Ajah, Lagos",N/A
3 bedroom terraced duplex for rent,"₦8,000,000per annum","Paradise 3 Estate, Chevron Drive, Lekki, Lagos",N/A
6 bedroom detached duplex for rent,"₦80,000,000per annum","Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for rent,"₦2,800,000per month","Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦190,000per day","Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom terraced duplex short let,"₦300,000per day","Admiralty, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) short let,"₦180,000per day","Oniru, Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment short let,"₦120,000per day","Osapa London, Osapa, Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦85,000per day","Osapa London, Osapa, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦340,000per day","Banana Island Road, Ikoyi, Lagos",N/A
3 bedroom flat / apartment short let,"₦320,000per day","Abibu Adetoro Street, Victoria Island (VI), Lagos",N/A
1 bedroom flat / apartment short let,"₦60,000per day","Bera Estate, Chevron, Lekki, Lagos",N/A
4 bedroom terraced duplex short let,"₦250,000per day","Oniru, Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment short let,"₦190,000per day","Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦6,000,000per annum","Ologolo, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦200,000per day","Palace Road, Oniru, Victoria Island (VI), Lagos",N/A
1 bedroom mini flat (room and parlour) short let,"₦140,000per day","Admiralty Road, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for sale,"₦55,000,000","Surulere, Lagos",N/A
2 bedroom flat / apartment for rent,"₦5,000,000per annum","Ikota Villa Estate, Lekki, Lagos",N/A
4 bedroom flat / apartment for rent,"₦80,000,000per annum","Glover, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦25,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦35,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦350,000per day","Ikoyi, Lagos",N/A
2 bedroom flat / apartment for rent,"₦6,000,000per annum","By Works & Housing ( Video Is Attached), Gaduwa, Abuja",N/A
Self contain (single rooms) for rent,"₦4,000,000per annum","Ikota, Ikota, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦550,000,000","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom detached duplex for sale,"₦700,000,000","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom detached duplex for sale,"₦120,000,000","Amity Estate, Abijo, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000per annum","Oral Estate, Lekki, Lagos",N/A
3 bedroom terraced duplex for rent,"₦6,500,000per annum","Ikota Villa, Lekki, Lagos",N/A
Self contain (single rooms) for rent,"₦3,500,000per annum","Oral Estate, Close To Eleganza Bustop, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦40,000,000per annum","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
Shop for rent,"₦260,000per square meter / per annum","Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom detached duplex for sale,"₦150,000,000","Ajah, Lagos",N/A
Office space for rent,"₦28,000,000per annum","Victoria Island (VI), Lagos",N/A
8 bedroom semi-detached duplex for sale,"₦1,300,000,000","Dolphin Estate, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦200,000,000","Orchid Lekki Lagos, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦370,000per day","Younis Bashorun, Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for sale,"$780,000approx. ₦1,088,903,345","Banana Island, Ikoyi, Lagos",N/A
2 bedroom flat / apartment for sale,"₦240,000,000","Ikate Elegushi, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦95,000,000","Ada George, Off Shell Location Road, Mgbuoba, Port Harcourt, Rivers",N/A
2 bedroom block of flats for sale,"₦45,000,000","Jakande Housing Estate Mile2 Lagos, Amuwo Odofin, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦150,000,000","Mobil Road ,lekki, Ajah, Lagos State., Ajah, Lagos",N/A
Residential land for sale,"₦195,000,000per plot","Chervon Drive, Lekki, Lagos",N/A
4 bedroom house for sale,"₦1,200,000,000","Off Buordillon Road, Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom flat / apartment for sale,"₦460,000,000","Oniru, Victoria Island (VI), Lagos",N/A
5 bedroom flat / apartment for sale,"₦2,200,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦2,400,000,000","Off Alexander, Old Ikoyi, Ikoyi, Lagos",N/A
Block of flats for sale,"$10,000,000approx. ₦13,960,299,300","Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,000,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,200,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,100,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦1,400,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦110,000,000","Ogba, Ikeja, Lagos",N/A
4 bedroom terraced duplex for sale,"₦950,000,000","Old Ikoyi, Ikoyi, Lagos",N/A
Residential land for sale,"₦100,000,000","Chervon Drive, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for sale,"₦65,000,000","Lekky County, Ikota, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦250,000,000","Allen, Ikeja, Lagos",N/A
2 bedroom flat / apartment for sale,"₦240,000,000","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦500,000,000","Lekki Phase 1, Lekki, Lagos",N/A
Commercial property for sale,"$30,000,000approx. ₦41,880,897,900","Victoria Island (VI), Lagos",N/A
6 bedroom house for sale,"₦425,000,000","Ajao Road Off Ogunlana Drive, Surulere, Lagos",N/A
Commercial property for sale,"$30,000,000approx. ₦41,880,897,900","Victoria Island (VI), Lagos",N/A
25 bedroom hotel / guest house for sale,"₦2,500,000,000","Ikeja, Lagos",N/A
2 bedroom flat / apartment for sale,"₦755,000,000","Eko Atlantic City, Lagos",N/A
2 bedroom flat / apartment for rent,"₦21,000,000per annum","Oniru, Victoria Island (VI), Lagos",N/A
3 bedroom flat / apartment for sale,"₦150,000,000","Prime Water Gardens 2, Ikate Elegushi, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,600,000,000","Nicon Town, Lekki, Lagos",N/A
Commercial property for sale,"₦2,200,000,000","Allen, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦1,200,000,000","Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦9,000,000,000","Ajao Estate, Ikeja, Lagos",N/A
3 bedroom flat / apartment for sale,"₦300,000,000","Ikate, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦180,000,000","Spar Road, Ikate, Lekki, Lagos",N/A
1 bedroom block of flats for sale,"₦45,000,000","Beside Lead City University, Oluyole, Ibadan, Oyo",N/A
Self contain (single rooms) for sale,"₦35,000,000","Lead City University, Ibadan, Oyo",N/A
Mixed-use land for sale,"₦5,500,000,000","Harris Drive Vgc Extension, VGC, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦400,000,000","Osborne, Ikoyi, Lagos",N/A
3 bedroom block of flats for sale,"₦350,000,000","Lekki Right Hand Side, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦2,000,000,000","Banana Island, Ikoyi, Lagos",N/A
4 bedroom block of flats for sale,"₦500,000,000","Banana Island Road, Ikoyi, Lagos",N/A
6 bedroom terraced duplex for sale,"₦400,000,000","By Nnpc, Guzape District, Abuja",N/A
4 bedroom detached bungalow for sale,"₦450,000,000","GRA Phase 1, Magodo, Lagos",N/A
3 bedroom flat / apartment short let,"₦360,000per day","Banana Island Road, Banana Island, Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦125,000,000","Opic, Isheri North, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000per annum","Serene And Secure Compound Agungi Lekki, Agungi, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦5,000,000per annum","Chevy View Estate, Chevron Drive, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦10,000,000per annum","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦300,000,000","Maryland, Lagos",N/A
4 bedroom detached duplex for sale,"₦400,000,000","Opic, Isheri North, Lagos",N/A
5 bedroom detached duplex for sale,"₦945,000,000","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦16,000,000per annum","Ikota Villa, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦220,000,000","Ikate, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦5,000,000per annum","Horizon Cyberville Estate, Ikate Elegushi, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦80,000per day","Ogba, Ikeja, Lagos",N/A
2 bedroom flat / apartment for rent,"₦5,000,000per annum","Horizon Cyberville Estate, Ikate Elegushi, Lekki, Lagos",N/A
4 bedroom flat / apartment for rent,"₦2,000,000per annum","Igbe- Laara, Ikorodu, Lagos",N/A
2 bedroom block of flats for sale,"₦60,000,000","Zone 4, Wuse, Abuja",N/A
4 bedroom flat / apartment for sale,"₦900,000,000","Victoria Island (VI), Lagos",N/A
5 bedroom detached duplex for sale,"₦3,000,000,000","Glover, Old Ikoyi, Ikoyi, Lagos",N/A
Self contain (single rooms) short let,"₦60,000per day","Chevron Alternative Route, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦28,000,000","Adamu Aleiro Crescent, Guzape District Abuja., Guzape District, Abuja",N/A
Land for sale,"₦18,000,000per plot","Plot No. 50 Cadastral Zone F03 Usumba District, Katampe Extension, Katampe, Abuja",N/A
4 bedroom terraced duplex for sale,"₦210,000,000","Oko-oba, Agege, Lagos",N/A
Land for sale,"₦2,900,000,000per hectare","Orile, Lagos",N/A
4 bedroom terraced duplex for sale,"₦210,000,000","Oko-oba, Agege, Lagos",N/A
4 bedroom house for sale,"₦700,000,000","In A Gated And Well Secured Close Off Agbaokwu Estate Opebi Ikeja, Opebi, Ikeja, Lagos",N/A
4 bedroom terraced duplex for sale,"₦400,000,000","Omole Phase 1, Ikeja, Lagos",N/A
Commercial land for sale,"₦9,500,000,000","Sharing Fence With Nta And Nuprc Headquarters, Central Business District, Abuja",N/A
3 bedroom flat / apartment for sale,"₦250,000,000","Allen, Ikeja, Lagos",N/A
Residential land for sale,"₦1,800,000,000","Ogbunaike Street, Off Wole Olateju, Lekki Phase 1, Lekki, Lagos",N/A
Residential land for sale,"₦950,000,000","Cowrie Creek, Ikate Elegushi, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦37,000,000per annum","Banana Island, Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦550,000,000","Ojo, Lagos",N/A
4 bedroom terraced duplex for sale,"₦210,000,000","Oko-oba, Agege, Lagos",N/A
3 bedroom flat / apartment for sale,"₦120,000,000","Adeniyi Jones, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦300,000,000","Maryland, Lagos",N/A
3 bedroom flat / apartment for rent,"₦25,000,000per annum","Ikeja GRA, Ikeja, Lagos",N/A
2 bedroom block of flats for sale,"₦800,000,000","Victoria Island, Eko Atlantic City, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦9,000,000per annum","Apo Dutse Before Cedarcrest Hospital, Apo, Abuja",N/A
4 bedroom semi-detached duplex for sale,"₦270,000,000","Surulere, Lagos",N/A
3 bedroom flat / apartment for rent,"₦150,000,000per annum","Jabi, Jabi, Abuja",N/A
4 bedroom terraced duplex for sale,"₦1,450,000,000","Jahi, Jahi, Abuja",N/A
4 bedroom terraced duplex for sale,"₦170,000,000","Osapa London, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦11,000,000per annum","Ilasan, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦30,000,000per annum","Louis Solomon Close Off Ahmadu Bello, Victoria Island (VI), Lagos",N/A
5 bedroom detached duplex for sale,"₦400,000,000","Orchid, Lekki, Lagos",N/A
