Title,Price,Address,Details
3 bedroom house for rent,"₦18,000,000per annum","Chisco, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦16,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦220,000,000","Ikate, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦10,000,000per annum","Ikate, Lekki, Lagos",N/A
Land for sale,"₦750,000per square meter","Phase 1, Orange Island, Lekki, Lagos",N/A
Land joint venture,"₦400,000,000","Gra, Ikota, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦460,000,000","Ikota, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000per annum","Ikota G R A, Ikota, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000per annum","In A Secured Estate Off Ado Road Ajah, Lekki Expressway, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦9,000,000per annum","Orchid Lekki /gated Estate, Lekki Phase 2, Lekki, Lagos",N/A
82 bedroom hotel / guest house for sale,"₦8,500,000,000","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
Residential land for sale,"₦400,000,000","Greenwich Garden Estate, Alapere, Ketu, Lagos",N/A
Mixed-use land for sale,"₦18,000,000per plot","Epe, Lagos",N/A
5 bedroom detached duplex for sale,"$3,000,000approx. ₦4,188,089,790","Ikoyi, Ikoyi, Lagos",N/A
5 bedroom terraced duplex for sale,"₦260,000,000","Ajao Estate, Ikeja, Lagos",N/A
Residential land for sale,"₦125,000,000per plot","Behind A.a Rano At Maitama Extension, Maitama District, Abuja",N/A
4 bedroom terraced duplex for sale,"₦230,000,000","By Coza, Guzape District, Abuja",N/A
10 bedroom house for sale,"₦240,000,000","Egbeda, Alimosho, Lagos",N/A
3 bedroom flat / apartment for sale,"₦330,000,000","Off Durosimi Etti, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦12,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦10,000,000per annum","Ikate, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦9,000,000per annum","Orchid Lekki /gated Estate, Lekki Phase 2, Lekki, Lagos",N/A
Self contain (single rooms) for rent,"₦3,000,000per annum","Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom house for sale,"₦180,000,000","Dopemu, Agege, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦1,600,000,000","Ikoyi, Ikoyi, Lagos",N/A
